"id","alpha","gamma","nu","beta","cost","kappa"
1,0.140837386287686,2.74625109320189,0,300,0,8
2,0.205199976720628,2.95317417532426,0,300,0,8
3,0.279610351569635,4.47984768014105,0,300,0,8
4,0.11469509333295,1.70693499516982,0,300,0,8
5,0.296103420288397,3.44069630137516,0,300,0,8
6,0.704789130276023,7.5491246944297,0,300,0,8
7,0.595840575960425,0.699678890047427,0,300,0,8
8,0.286552720427317,1.78347615465349,0,300,0,8
9,0.369322606929925,2.16913143031466,0,300,0,8
10,0.108151102619614,3.16520011278328,0,300,0,8
11,0.224141979295511,1.35323466309706,0,300,0,8
12,0.248629387899831,2.61970242429944,0,300,0,8
13,0.27107063414542,2.11403121227957,0,300,0,8
14,0.188084952221401,2.11914802195701,0,300,0,8
15,0.058759075630241,1.58936229424517,0,300,0,8
16,0.101174848494891,1.6198154123883,0,300,0,8
17,0.157346521845184,5.22968591459851,0,300,0,8
18,0.298790758294197,3.67071163520882,0,300,0,8
19,0.408093303298458,3.48820639100051,0,300,0,8
20,0.142930939151367,2.09570687733803,0,300,0,8
21,0.164252748118426,1.85471598635391,0,300,0,8
22,0.226207873212174,1.16846261389064,0,300,0,8
23,0.521025804489471,3.16056235136072,0,300,0,8
24,0.149279528908795,6.5650393775686,0,300,0,8
25,0.30948980288521,1.62483621056025,0,300,0,8
26,0.2477757685666,0.644728581063158,0,300,0,8
27,0.0429397999889889,3.25923940881833,0,300,0,8
28,0.485196776017397,3.59952781262634,0,300,0,8
29,0.129141926586674,4.85032450848756,0,300,0,8
30,0.270895407803312,1.54790986053397,0,300,0,8
31,0.632733452629171,0.823073439492934,0,300,0,8
32,0.16577916377528,2.96062526650553,0,300,0,8
33,0.397399064930399,2.7747240360756,0,300,0,8
34,0.0898163960272665,2.02383264094153,0,300,0,8
35,0.146601460798137,1.28446550858089,0,300,0,8
36,0.559749579304911,1.60535156405285,0,300,0,8
37,0.342093404641996,1.77144023231892,0,300,0,8
38,0.328888735732207,3.26290737478657,0,300,0,8
39,0.184662012842002,2.38973842138059,0,300,0,8
40,0.322568953701444,1.71832605183396,0,300,0,8
41,0.11079035299947,2.54373669848773,0,300,0,8
42,0.414335524207836,4.68562696857883,0,300,0,8
43,0.568162453669632,2.86775894912647,0,300,0,8
44,0.0181861908095889,5.35712985703463,0,300,0,8
45,0.193782405073116,3.2684094258143,0,300,0,8
46,0.0543710859692486,3.23635741907205,0,300,0,8
47,0.051076921308769,3.33250160945455,0,300,0,8
48,0.463130995177145,3.14442022817839,0,300,0,8
49,0.177236448038672,3.00798917652897,0,300,0,8
50,0.237335049776663,3.50276098943929,0,300,0,8
51,0.17320460679688,1.90456091776012,0,300,0,8
52,0.171613597999327,3.73000934515365,0,300,0,8
53,0.227313115944984,1.60832570433893,0,300,0,8
54,0.020452005523921,2.65080195967648,0,300,0,8
55,0.340719987038863,2.81544654687138,0,300,0,8
56,0.276816732417743,2.40785328649295,0,300,0,8
57,0.40262355813993,2.16496061582711,0,300,0,8
58,0.0164385835482201,4.45711883746864,0,300,0,8
59,0.444577734704925,1.74512717329612,0,300,0,8
60,0.221270433015242,3.43354163469861,0,300,0,8
61,0.400321146234187,3.48184724505973,0,300,0,8
62,0.061867445120858,2.43166299891659,0,300,0,8
63,0.35175499479697,2.37477710317647,0,300,0,8
64,0.423126707058919,2.50609740615718,0,300,0,8
65,0.52200356302439,1.22690078479368,0,300,0,8
66,0.378558364595803,0.910779126897012,0,300,0,8
67,0.099021825173435,1.35925022323899,0,300,0,8
68,0.0724894154168887,1.50557837638124,0,300,0,8
69,0.473931148248795,7.6241315568271,0,300,0,8
70,0.815564291101449,2.30209429768139,0,300,0,8
71,0.217131973782144,5.10753621637171,0,300,0,8
72,0.478777219585257,2.51658562406016,0,300,0,8
73,0.260458645385047,3.96056028620442,0,300,0,8
74,0.192631286026861,4.27769693958648,0,300,0,8
75,0.0723776053050547,4.28659213280856,0,300,0,8
76,0.181202091541801,3.33556617457569,0,300,0,8
77,0.0370983953033719,2.63468740421306,0,300,0,8
78,0.263442657269716,3.33871147641789,0,300,0,8
79,0.250735936206415,5.18089216563969,0,300,0,8
80,0.263810429127704,5.29247441948285,0,300,0,8
